grid_x;grid_y;cl_x;cl_y;hl_x;hl_y;id14
2;1;70.688;0.704;0.812;0.704;TUBE.1
4;1;69.875;0.704;1.625;0.704;TUBE.2
6;1;69.062;0.704;2.438;0.704;TUBE.3
8;1;68.25;0.704;3.25;0.704;TUBE.4
10;1;67.438;0.704;4.062;0.704;TUBE.5
12;1;66.625;0.704;4.875;0.704;TUBE.6
14;1;65.812;0.704;5.688;0.704;TUBE.7
16;1;65;0.704;6.5;0.704;TUBE.8
18;1;64.188;0.704;7.312;0.704;TUBE.9
20;1;63.375;0.704;8.125;0.704;TUBE.10
